"rank","artist","song","votes","year","label","index"
"17","The Smiths","How Soon Is Now?","21","1985","Rough Trade import",173
"17","USA for Africa","We Are the World","21","1985","Columbia",174
"20","Prince & the Revolution","Raspberry Beret","20","1985","Paisley Park",175
"20","R.E.M.","Can't Get There From Here","20","1985","I.R.S.",176
"22","Run-D.M.C.","King of Rock","19","1985","Profile",177
"23","The Commodores","Nightshift","18","1985","Motown",178
"23","John Cougar Mellencamp","Small Town","17","1985","MCA",179
"25","Tom Petty & the Heartbreakers","Don't Come Around Here No More","17","1985","MCA",180
"25","Sade","Smooth Operator","17","1985","Portrait",181
"25","Tears for Fears","Everybody Wants to Rule the World","17","1985","Mercury",182
"1","Run-D.M.C.","Walk This Way","78","1986","Profile",183
"2","Cameo","Word Up","68","1986","Atlanta Arista",184
"3","Prince & the Revolution","Kiss/Love Or Money","64","1986","Paisley Park",185
"4","Peter Gabriel","Sledgehammer","39","1986","Geffen",186
"5","Billy Bragg","Levi Stubbs' Tears","27","1986","Go! Discs import",187
"5","R.E.M.","Fall On Me","27","1986","I.R.S.",188
"5","Timbuk 3","The Future's So Bright, I Gotta Wear Shades","27","1986","I.R.S.",189
"8","Steve Winwood","Higher Love","24","1986","Warner Bros.",190
"9","Public Image Ltd.","Rise","23","1986","Elektra",191
"9","Talking Heads","Wild Wild Life","23","1986","Sire",192
"11","Janet Jackson","Nasty","22","1986","A&M",193
"12","Beastie Boys","Fight For Your Right (To Party)","20","1986","Def Jam",194
"12","The Smithereens","Blood and Roses/Behind the Wall of Sleep","20","1986","Enigma",195
"12","Bruce Springsteen","War/Merry Christmas Baby","20","1986","Columbia",196
"15","Pretenders","Don't Get Me Wrong","19","1986","Sire",197
"16","Bangles","Walk Like An Egyptian","18","1986","Columbia",198
"16","Ciccone Youth","Into the Groovey/Burnin' Up/Tuff Titty Rap","18","1986","New Alliance/Blast First import",199
"16","Pet Shop Boys","West End Girls","18","1986","EMI America",200
"16","Timex Social Club","Rumours/Vicious Rumours","18","1986","Danya",201
"20","James Brown","Living In America","17","1986","Scotti Brothers",202
"20","Madonna","Papa Don't Preach","17","1986","Sire",203
"22","Robert Palmer","Addicted To Love","16","1986","Island",204
"23","Bangles","Manic Monday","15","1986","Columbia",205
"23","Bruce Hornsby and the Range","The Way It Is","15","1986","RCA Victor",206
"23","Rolling Stones","One Hit (To the Body)","15","1986","Rolling Stones",207
"1","Prince","Sign O' the Times","54","1987","Paisley Park",208
"2","Suzanne Vega","Luka","53","1987","A&M",209
"3","Los Lobos","La Bamba","46","1987","Slash",210
"4","Prince","I Could Never Take the Place of Your Man/Hot Thing","32","1987","Paisley Park",211
"5","M/A/R/R/S","Pump Up the Volume","30","1987","4th & B'way",212
"6","Grateful Dead","Touch of Grey","28","1987","Arista",213
"6","Bruce Springsteen","Brilliant Disguise/Lucky Man","28","1987","Columbia",214
"6","R.E.M.","The One I Love","28","1987","I.R.S.",215
"9","Prince","U Got the Look/Housequake","27","1987","Paisley Park",216
"10","Bruce Springsteen","Tunnel of Love","25","1987","Columbia",217
"10","X","Fourth of July/Positively Fourth Street","25","1987","Elektra",218
"12","R.E.M.","It's the End of the World As We Know It (And I Feel Fine)","24","1987","I.R.S.",219
"12","Stevie Wonder","Skeletons","24","1987","Motown",220
"14","Eric B. & Rakim","I Know You Got Soul","23","1987","4th & B'way",221
"15","LeVert","Casanova","21","1987","Atlantic",222
"15","U2","With or Without You","21","1987","Island",223
"17","Bangles","Hazy Shade of Winter","19","1987","Def Jam",224
"18","Public Enemy","Bring the Noise","18","1987","Def Jam",225
"18","U2","I Still Haven't Found What I'm Looking For","18","1987","Island",226
"20","George Michael","I Want Your Sex","17","1987","Columbia",227
"20","The Replacements","Alex Chilton","17","1987","Sire",228
"22","Crowded House","Don't Dream It's Over","16","1987","Capitol",229
"22","Fleetwood Mac","Big Love/You and I","14","1987","Warner Bros.",230
"22","Michael Jackson","The Way You Make Me Feel","14","1987","Epic",231
"22","George Michael","Faith","14","1987","Columbia",232
"22","Alexander O'Neal","Fake","14","1987","Tabu",233
"1","Tracy Chapman","Fast Car","55","1988","Elektra",234
"2","Robe Base & D.J. E-Z Rock","It Takes Two","38","1988","Profile",235
"3","Guns N' Roses","Sweet Child o' Mine","30","1988","Geffen",236
"4","Prince","Alphabet St.","29","1988","Paisley Park",237
"5","Midnight Oil","Beds Are Burning/The Dead Heart","27","1988","Columbia",238
"6","Public Enemy","Don't Believe the Hype/Prophets of Rage","25","1988","Def Jam",239
"6","Traveling Wilburys","Handle With Care","25","1988","Wilbury",240
"8","Bobby Brown","My Prerogative","24","1988","MCA",241
"9","Eric B. & Rakim","Follow the Leader","22","1988","Uni",242
"9","D.J. Jazzy Jeff & the Fresh Prince","Parents Just Don't Understand","22","1988","Jive",243
"9","The Primitives","Crash","22","1988","RCA",244
"12","Terence Trent D'Arby","Wishing Well","21","1988","Columbia",245
"13","Guns N' Roses","Welcome to the Jungle/Mr. Brownstone","20","1988","Geffen",246
"14","E.U.","Da Butt","17","1988","EMI-Manhattan",247
"15","The Sugarcubes","Birthday","15","1988","Elektra",248
"16","Eric B. & Rakim","Paid in Full","14","1988","4th & B'way",249
"16","Michelle Shocked","Anchorage","14","1988","Mercury",250
"18","Salt-n-Pepa","Push It/Tramp","13","1988","Next Plateau",251
"19","Ofra Haza","Im Nin-alu/Galbi","12","1988","Sire",252
"20","Ice-T","Colors","11","1988","Cold Chillin'",253
"20","Michael Jackson","Man in the Mirror","11","1988","Epic",254
"20","Salt-n-Pepa","Shake Your Thang","11","1988","Next Plateau",255
"20","Patti Smith","People Have the Power","11","1988","Arista",256
"20","Keith Sweat","I Want Her","11","1988","Vintertainment",257
"20","Tone-Loc","Wild Thing","11","1988","Delicious Vinyl",258
"1","Public Enemy","Fight the Power","75","1989","Motown",259
"2","Neneh Cherry","Buffalo Stance","74","1989","Virgin",260
"3","Soul II Soul","Keep on Movin'","51","1989","Virgin",261
"4","Fine Young Cannibals","She Drives Me Crazy","48","1989","I.R.S.",262
"5","Tone-Loc","Wild Thing","41","1989","Delicious Vinyl",258
"6","Young M.C.","Bust a Move","38","1989","Delicious Vinyl",264
"7","Madonna","Like a Prayer","37","1989","Sire",265
"8","The B-52s","Love Shack","36","1989","Warner Bros.",266
"9","Tom Petty","Free Fallin'","30","1989","MCA",267
"10","Rolling Stones","Mixed Emotions","28","1989","Rolling Stones",268
"11","Aerosmith","Janie's Got a Gun","27","1989","Geffen",269
"11","Neil Young","Rockin' in the Free World","27","1989","Reprise",270
"13","XTC","The Mayor of Simpleton","26","1989","Geffen",271
"14","Prince","Batdance","23","1989","Warner Bros.",272
"14","Tone-Loc","Funky Cold Medina","25","1989","Delicious Vinyl",273
"16","Elvis Costello","Veronica","23","1989","Warner Bros.",274
"17","Soul II Soul","Back To Life","22","1989","Virgin",275
"18","Digital Underground","Doowutchyalike","20","1989","Tommy Boy",276
"18","The Replacements","I'll Be You","20","1989","Sire",277
"20","De La Soul","Me Myself and I","18","1989","Tommy Boy",278
"20","Living Colour","Cult of Personality","18","1989","Epic",279
"20","The Stop the Violence Movement","Self-Destruction","18","1989","Jive",280
"23","Paula Abdul","Straight Up","15","1989","Virgin",281
"24","Inner City","Good Life","14","1989","Virgin",282
"24","Pixies","Monkey Gone To Heaven","14","1989","4AD/Elektra",283
"1","Deee-Lite","Groove Is in the Heart/What Is Love","74","1990","Elektra",284
"2","Sinéad O'Connor","Nothing Compares 2 U","69","1990","Chrysalis",285
"3","Digital Underground","The Humpty Dance","40","1990","Tommy Boy",286
"4","Madonna","Vogue","39","1990","Sire/Warner Bros.",287
"5","Faith No More","Epic","33","1990","Slash/Warner Bros.",288
"5","Lisa Stansfield","All Around the World","33","1990","Arista",289
"7","Black Box","Everybody Everybody","32","1990","Deconstruction",290
"8","Madonna","Justify My Love","29","1990","Sire/Warner Bros.",291
"9","Soho","Hippychick","27","1990","Atlantic",292
"10","Public Enemy","Welcome to the Terrordome","26","1990","Def Jam",293
"11","DNA Featuring Suzanne Vega","Tom's Diner","25","1990","A&M",294
"12","The B-52's","Roam","23","1990","Sire/Warner Bros.",295
"12","Boogie Down Productions","Love's Gonna Getcha (Material Love)","","1990","23",296
"12","En Vogue","Hold On","23","1990","Atlantic",297
"15","Public Enemy","911 Is a Joke","22","1990","Def Jam",298
"16","Paul Simon","The Obvious Child","21","1990","Warner Bros.",299
"17","Snap","The Power","20","1990","Arista",300
"18","Jane's Addiction","Been Caught Stealin'","19","1990","Warner Bros.",301
"19","Power Jam Featuring Chill Rob G","The Power","17","1990","Wild Pitch",302
"20","Iggy Pop","Candy","16","1990","Virgin",303
"21","Bell Biv Devoe","Poison","15","1990","MCA",304
"21","C & C Music Company Featuring Freedom Williams","Gonna Make You Sweat","15","1990","Columbia",305
"21","Monie Love","Monie in the Middle","15","1990","Warner Bros.",306
"24","Sonic Youth","Kool Thing/That's All I Want Right Now","14","1990","DGC",307
"24","World Party","Put the Message in a Box","14","1990","Chrysalis",308
"1","Nirvana","Smells Like Teen Spirit","116","1991","DGC",309
"2","R.E.M.","Losing My Religion","86","1991","Warner Bros.",310
"3","Naughty by Nature","O.P.P.","74","1991","Tommy Boy",311
"4","Geto Boys","Mind Playing Tricks on Me","60","1991","Rap-a-Lot",312
"5","Metallica","Enter Sandman","40","1991","Elektra",313
"6","P.M. Dawn","Set Adrift on Memory Bliss","39","1991","Gee Street",314
"6","Crystal Waters","Gypsy Woman (She's Homeless)","39","1991","Mercury",315
"8","Public Enemy","Can't Truss It","36","1991","Def Jam/Columbia",316
"8","Seal","Crazy","36","1991","Sire/Reprise",317
"10","EMF","Unbelievable","33","1991","EMI",318
"11","L.L. Cool J","Mama Said Knock You Out","31","1991","Def Jam/Columbia",319
"12","C + C Music Factory Featuring Freedom Williams","Gonna Make You Sweat","30","1991","Columbia",305
"13","Prince and the New Power Generation","Gett Off","24","1991","Paisley Park/Warner Bros.",321
"14","Negativland","U2","23","1991","SST",322
"14","Prince and the New Power Generation","Cream/Horny Pony","23","1991","Paisley Park/Warner Bros.",323
"16","Jesus Jones","Right Here Right Now","20","1991","SBK",324
"17","Dream Warriors","My Definition of a Boombastic Jazz Style/Wash Your Face in My Sink","19","1991","4th & B'way",325
"17","The La's","There She Goes","19","1991","London",326
"19","Michael Jackson","Black or White","17","1991","Epic",327
"20","Anthrax/Public Enemy","Bring Tha Noize","16","1991","Megaforce/Island",328
"20","3rd Bass","Pop Goes the Weasel","16","1991","Def Jam/Columbia",329
"22","Cypress Hill","How I Could Just Kill a Man/The Phuncky Feel One","15","1991","Ruffhouse/Columbia",330
"22","Unrest","Yes She Is My Skinhead Girl","15","1991","K",331
"22","Divinyls","I Touch Myself","15","1991","Virgin",332
"25","Billy Bragg","Sexuality","14","1991","Elektra",333
"25","Color Me Badd","I Wanna Sex You Up","14","1991","Giant",334
"25","Londonbeat","I've Been Thinking About You","14","1991","Radioactive",335
"25","Pavement","Summer Babe (Exact Wording of Threat)","14","1991","Drag City",336
"25","U2","Mysterious Ways","14","1991","Island",337
"1","Arrested Development","Tennessee","100","1992","Chrysalis",338
"2","House of Pain","Jump Around","40","1992","Tommy Boy",339
"3","Kris Kross","Jump","37","1992","Ruffhouse/Columbia",340
"4","En Vogue","My Lovin' (You're Never Gonna Get It)","34","1992","EastWest",341
"5","Arrested Development","People Everyday","26","1992","Chrysalis",342
"5","Cypress Hill","How I Could Just Kill a Man/The Phuncky Feel One","26","1992","Ruffhouse/Columbia",330
"7","Sir Mix-a-Lot","Baby Got Back","25","1992","Def American",344
"8","U2","One","24","1992","Island",345
"9","The KLF","Justified and Ancient","23","1992","Arista",346
"10","Sophie B. Hawkins","Damn, I Wish I Was Your Lover","22","1992","Epic",347
"11","L7","Pretend We're Dead","20","1992","Slash",348
"12","TLC","Ain't 2 Proud 2 Beg","19","1992","LaFace",349
"13","R.E.M.","Drive","16","1992","Warner Bros.",350
"14","Das Efx","They Want Efx","15","1992","EastWest",351
"14","K.D. Lang","Constant Craving","15","1992","Sire/Warner Bros.",352
"14","Prince and the New Power Generation","Sexy M.F.","15","1992","Paisley Park/Warner Bros.",353
"14","Red Hot Chili Peppers","Under the Bridge","15","1992","Warner Bros.",354
"14","Pete Rock & CL Smooth","They Reminisce Over You (T.R.O.Y.)","15","1992","Elektra",355
"14","Wreckx-N-Effect","Rump Shaker","15","1992","MCA",356
"20","Ministry","Jesus Built My Hot Rod","13","1992","Sire/Warner Bros.",357
"20","Nirvana","Lithium","13","1992","DGC",358
"20","Lisa Stansfield","Real Love","13","1992","Arista",359
"20","Utah Saints","Something Good","13","1992","London",360
"24","Arrested Development","Revolution","12","1992","Chrysalis",361
"24","The Cure","Friday I'm in Love","12","1992","Elektra/Fiction",362
"24","Madonna","Erotica","12","1992","Maverick/Reprise",363
"24","Bruce Springsteen","Human Touch","12","1992","Columbia",364
"24","Paul Westerberg","Dyslexic Heart","12","1992","Epic",365
"1","The Breeders","Cannonball","78","1993","4AD/Elektra",366
"2","Digable Planets","Rebirth of Slick (Cool Like Dat)","50","1993","Pendulum",367
"2","Nirvana","Heart-Shaped Box","50","1993","DGC",368
"4","Dr. Dre","Nuthin' but a `G' Thang","44","1993","Interscope",369
"5","Salt-n-Pepa","Shoop","32","1993","Next Plateau",370
"6","Radiohead","Creep","29","1993","Capitol",371
"6","Soul Asylum","Runaway Train","29","1993","Columbia",372
"8","The Juliana Hatfield 3","My Sister","27","1993","Mammoth/Atlantic",373
"9","Urge Overkill","Sister Havana","26","1993","Geffen",374
"10","Ice Cube","It Was a Good Day/Check Yo Self","23","1993","Priority",375
"10","Tony Toni Toné","If I Had No Loot","23","1993","Wing",376
"12","US3","Cantaloop","22","1993","Blue Note",377
"13","Janet Jackson","That's the Way Love Goes","20","1993","Virgin",378
"13","Naughty by Nature","Hip Hop Hooray","20","1993","Tommy Boy",379
"13","Shaggy","Oh Carolina","20","1993","Virgin",380
"16","Cypress Hill","Insane in the Brain","19","1993","Ruffhouse/Columbia",381
"16","Porno for Pyros","Pets","19","1993","Warner Bros.",382
"18","Robin S","Show Me Love","18","1993","Big Beat/Atlantic",383
"19","Belly","Feed the Tree","17","1993","Sire/Reprise",384
"19","R.E.M.","Man on the Moon","17","1993","Warner Bros.",385
"21","Gin Blossoms","Hey Jealousy","15","1993","A&M",386
"21","Pet Shop Boys","Go West","15","1993","EMI",387
"21","RuPaul","Supermodel","15","1993","Tommy Boy",388
"24","Tag Team","Whoomp! There It Is","13","1993","Life",389
"24","Janet Jackson","If","13","1993","Virgin",390
"24","Snow","Informer","13","1993","EastWest",391
"24","R.E.M.","Everybody Hurts","13","1993","Warner Bros.",392
"1","Beck","Loser","89","1994","DGC",393
"2","Veruca Salt","Seether","46","1994","DGC",394
"3","Coolio","Fantastic Voyage","42","1994","Tommy Boy",395
"4","Warren G","Regulate","40","1994","Violator/RAL",396
"5","Beastie Boys","Sabotage","35","1994","Grand Royal",397
"6","R.E.M.","What's the Frequency, Kenneth?","30","1994","Warner Bros.",398
"7","Pavement","Cut Your Hair","29","1994","Matador",399
"8","Hole","Doll Parts","28","1994","DGC",400
"8","Liz Phair","Supernova","28","1994","Matador",401
"10","Offspring","Come Out and Play","10","1994","Phantom",402
"11","Sheryl Crow","All I Want To Do","25","1994","A&M",403
"12","Ini Kamoze","Here Comes the Hotstepper (Heartical Mix)","24","1994","Columbia",404
"12","Salt-n-Pepa","Whatta Man","24","1994","Next Plateau",405
"14","Craig Mack","Flava in Ya Ear","21","1994","Bad Boy",406
"14","Nine Inch Nails","Closer","21","1994","Nothing/TVT/Interscope",407
"16","The Cranberries","Zombie","20","1994","Island",408
"16","Hole","Miss World","20","1994","DGC",409
"18","Des'ree","You Gotta Be","19","1994","Columbia",410
"18","Madonna","Secret","19","1994","Maverick/Sire",411
"18","Soundgarden","Black Hole Sun","19","1994","A&M",412
"21","Blur","Girls & Boys","18","1994","SBK/ERG",413
"21","Freedy Johnston","Bad Reputation","18","1994","Elektra",414
"21","Mary Lou Lord","Some Jingle Jangle Morning","18","1994","Kill Rock Stars",415
"21","Pretenders","Night in My Veins","18","1994","Sire",416
